# cells -> N,Shared_Face_2,Frequency
1,0,1
2,0,1
3,0,1
3,1,1
4,0,2
4,1,1
4,2,2
5,0,2
5,1,3
5,2,4
5,3,2
5,4,1
6,0,3
6,1,6
6,2,15
6,3,7
6,4,4
7,0,4
7,1,18
7,2,35
7,3,31
7,4,17
7,5,3
8,0,10
8,1,37
8,2,102
8,3,112
8,4,84
8,5,20
8,6,4
9,0,18
9,1,90
9,2,275
9,3,390
9,4,336
9,5,143
9,6,30
9,7,3
